X,Y,Z,SIGNAL_STRENGTH
386,7,261,159
383,7,277,167
376,7,293,159
374,7,351,84
351,6,426,60
12,0,232,20
-279,-5,568,35
-392,-7,456,55
-396,-7,358,45
-403,-7,279,55
-378,-7,244,175
-380,-7,229,167
-386,-7,216,167
-380,-7,197,167
-377,-7,180,167
-383,-7,168,183
-382,-7,156,175
-387,-7,143,175
-386,-7,129,175
-386,-7,118,183
-385,-7,103,175
-382,-7,92,183
-385,-7,82,175
-387,-7,68,175
-384,-7,56,167
-387,-7,43,175
-383,-7,30,167
116,2,-54,98
129,2,-55,175
138,2,-53,175
170,3,-52,98
203,4,-54,167
330,6,-44,70
375,7,-40,183
386,7,-31,183
379,7,-18,175
352,6,-6,159
357,12,7,175
372,13,20,175
380,13,32,167
381,13,42,183
381,13,56,175
392,14,111,45
392,14,168,70
356,12,211,45
374,13,265,98
377,13,286,175
383,13,313,159
365,13,366,70
330,12,432,45
204,7,349,55
150,5,353,50
-302,-11,571,30
-396,-14,559,40
-408,-14,441,35
-401,-14,335,50
-397,-14,254,70
-379,-13,226,159
-387,-14,215,159
-386,-13,198,167
-388,-14,184,175
-383,-13,167,183
-384,-13,153,175
-382,-13,138,175
-385,-13,126,183
-389,-14,114,175
-386,-13,99,167
-388,-14,87,175
-386,-13,73,175
-382,-13,60,175
-385,-13,48,175
-385,-13,35,175
-387,-14,23,175
-4469,-156,-879,30
112,4,-52,98
127,4,-54,183
134,5,-52,167
153,5,-54,159
166,6,-54,175
214,7,-47,84
360,13,-42,84
378,13,-33,183
379,13,-20,183
365,13,-10,183
345,12,0,159
367,13,12,167
378,13,25,175
382,13,36,183
378,13,49,175
398,14,105,55
401,14,162,35
366,13,205,55
364,13,250,84
382,13,283,159
384,13,307,159
374,13,361,84
344,12,427,55
246,9,398,30
174,6,381,60
106,4,345,50
8,0,171,35
-293,-10,595,35
-362,-13,547,30
-393,-14,453,55
-399,-14,355,45
-391,-14,268,60
-384,-13,244,167
-379,-13,225,167
-386,-13,213,175
-386,-13,176,98
-384,-13,161,175
-390,-14,149,175
-390,-14,134,175
-380,-13,118,175
-382,-13,106,175
-387,-14,93,159
-386,-13,80,167
-382,-13,67,175
-383,-13,56,183
-376,-13,42,175
-386,-13,31,175
-377,-13,-16,40
4178,146,-2525,25
114,4,-53,70
127,4,-54,183
140,5,-55,175
152,5,-54,175
163,6,-52,175
196,7,-55,167
312,11,-45,65
375,13,-42,175
377,13,-30,175
378,13,-18,175
350,12,-4,167
357,12,3,167
355,12,15,159
381,13,28,175
379,13,41,175
376,13,52,175
386,13,104,45
401,14,165,70
365,13,208,65
364,13,252,84
376,13,313,84
378,13,342,159
356,12,414,60
185,6,374,30
125,4,361,30
18,1,210,40
-8,0,174,35
-273,-10,583,60
-354,-12,556,40
-403,-14,482,45
-397,-14,367,40
-393,-14,279,55
-393,-14,230,98
-380,-13,206,175
-389,-14,195,175
-388,-14,178,167
-383,-13,163,175
-383,-13,148,167
-384,-13,134,175
-384,-13,120,183
-381,-13,106,175
-389,-14,95,167
-389,-14,82,175
-386,-13,69,167
-386,-13,56,175
-385,-13,44,175
-387,-13,31,175
110,4,-52,70
127,4,-55,175
134,5,-53,183
147,5,-53,167
163,6,-53,159
180,6,-52,167
287,10,-45,65
369,13,-46,167
379,13,-35,175
380,13,-24,175
372,13,-11,175
350,12,0,167
362,13,12,167
378,13,24,167
379,13,37,175
385,13,50,175
386,13,100,50
384,13,154,65
376,13,210,55
367,13,254,84
379,13,283,159
384,13,310,159
363,13,365,70
333,12,435,45
148,5,349,55
93,3,327,35
5,0,209,30
-42,-1,176,30
-62,-2,165,30
-313,-11,586,30
-387,-14,543,40
-402,-14,432,65
-404,-14,335,45
-397,-14,254,70
-379,-13,225,183
-381,-13,210,167
-389,-14,198,175
-384,-13,180,167
-387,-14,167,183
-390,-14,154,175
-383,-13,138,175
-378,-13,121,175
-383,-13,110,175
-382,-13,97,167
-387,-14,84,175
-383,-13,71,175
-383,-13,59,175
-387,-14,47,167
-385,-13,35,175
-380,-13,20,175
112,4,-51,84
127,4,-54,175
142,5,-55,167
177,6,-51,84
211,7,-52,159
345,12,-42,70
375,13,-36,175
378,13,-24,175
377,13,-12,183
364,13,9,175
372,13,21,183
376,13,33,167
374,13,45,175
380,13,57,167
391,14,110,35
397,14,169,35
360,13,210,35
368,13,263,84
377,13,322,84
360,13,393,70
295,10,419,35
196,7,369,40
135,5,360,35
61,2,256,35
-4,0,190,40
-27,-1,184,40
-47,-2,168,40
-397,-14,520,30
-397,-14,402,35
-397,-14,310,50
-393,-14,242,70
-384,-13,220,175
-385,-13,206,167
-387,-13,192,167
-386,-13,176,175
-385,-13,161,175
-382,-13,146,175
-389,-14,134,183
-387,-14,120,175
-385,-13,106,175
-386,-13,93,175
-390,-14,81,175
-383,-13,67,167
-381,-13,54,175
-386,-13,42,175
-382,-13,31,167
-384,-13,-18,40
112,4,-52,70
122,4,-53,175
143,5,-56,175
156,5,-54,167
175,6,-54,159
224,8,-47,84
371,13,-42,84
374,13,-30,167
375,13,-19,167
356,12,-7,159
350,12,1,159
364,13,13,167
377,13,25,175
377,13,38,175
384,13,51,175
382,13,62,175
393,14,116,35
376,13,165,35
356,12,211,45
373,13,267,84
376,13,290,167
377,13,313,159
359,13,375,70
328,11,444,60
136,5,343,35
-28,-1,203,30
-53,-2,194,45
-403,-14,407,60
-400,-14,312,50
-394,-14,245,70
-384,-13,220,159
-384,-13,204,175
-383,-13,188,167
-381,-13,172,175
-386,-13,158,175
-382,-13,143,167
-391,-14,132,175
-391,-14,119,167
-375,-13,102,183
-389,-14,92,159
-389,-14,78,175
-385,-13,65,183
-389,-14,53,175
-382,-13,39,175
-387,-14,27,175
-393,-14,-21,35
114,4,-53,84
126,4,-54,175
137,5,-53,175
153,5,-52,167
175,6,-54,183
245,9,-46,70
371,13,-39,98
378,13,-27,183
379,13,-15,175
350,12,-3,167
367,13,10,159
377,13,23,175
376,13,34,175
379,13,47,175
380,13,59,183
391,14,115,40
386,13,170,35
360,13,218,45
374,13,272,98
379,13,298,175
370,13,352,84
340,12,419,50
96,3,317,50
41,1,249,40
-15,-1,170,35
-43,-1,193,30
-66,-2,184,55
-96,-3,186,30
-396,-14,345,40
-395,-14,263,60
-382,-13,237,159
-389,-14,222,159
-385,-13,202,159
-386,-13,186,175
-383,-13,171,167
-390,-14,159,175
-394,-14,146,167
-386,-13,129,167
-381,-13,115,175
-384,-13,101,175
-389,-14,90,183
-389,-14,77,175
-389,-14,64,175
-387,-14,53,175
-385,-13,42,175
-382,-13,28,175
-375,-13,-18,30
2291,80,-1860,25
108,4,-50,70
127,4,-54,175
136,5,-53,183
157,5,-55,175
173,6,-54,167
194,7,-53,159
313,11,-44,65
