X,Y,Z,SIGNAL_STRENGTH
0,-1,-1,20
0,-1,-1,25
0,-1,-1,30
0,-1,0,30
0,-1,0,35
0,-1,0,30
0,-1,0,25
2098,-8417,-1306,25
0,-1,0,30
0,-1,0,25
0,-1,0,30
0,-1,0,25
0,-1,0,35
0,-1,0,35
0,-1,0,25
0,-1,0,35
0,-1,1,25
0,-1,1,35
0,-1,1,25
110,-441,519,20
0,-1,1,30
4,-17,29,30
8,-30,62,65
6,-24,59,70
5,-19,58,70
4,-16,60,84
3,-13,61,98
3,-13,69,159
2,-8,60,98
2,-6,58,159
1,-6,63,159
1,-4,65,167
1,-3,59,159
0,-2,64,175
0,0,64,183
0,1,67,167
0,2,62,191
-1,3,61,183
-1,5,62,175
-2,6,67,167
-2,8,66,159
-2,9,63,167
-3,12,61,98
-5,18,70,70
-5,21,63,84
-5,21,58,159
-6,25,60,98
-7,30,61,84
-8,33,59,84
-9,36,62,159
-9,37,56,84
-12,46,61,84
-13,50,58,84
-13,54,55,84
-16,66,59,84
-18,73,58,84
-20,81,57,98
-20,82,55,167
-21,86,55,175
-24,94,58,167
-24,97,56,175
-51,203,102,84
-53,212,100,183
-53,214,96,167
-54,215,91,167
-52,210,84,167
-52,209,78,167
-54,219,77,167
-54,216,72,183
-54,217,66,167
-53,211,60,175
-52,207,55,167
-54,217,52,175
-54,216,47,167
-53,215,42,175
-53,214,37,175
-52,210,33,175
-54,217,28,175
-54,217,24,183
-53,215,20,167
-53,211,15,175
-53,214,10,175
-53,211,6,175
-52,208,2,175
-51,205,-2,183
-51,205,-6,167
-51,204,-10,183
-52,209,-15,175
-54,215,-19,183
-52,210,-24,175
-53,213,-29,175
-53,213,-33,175
-54,217,-39,175
-53,213,-43,167
-51,205,-46,175
-53,213,-53,183
-52,210,-57,175
-53,213,-62,183
-52,209,-66,183
-52,207,-70,159
-52,207,-75,167
-51,205,-79,159
-51,205,-84,167
-53,211,-92,175
-53,212,-97,167
-53,212,-104,167
-51,206,-114,98
-53,212,-122,167
-55,219,-134,159
-53,212,-146,98
-51,206,-149,159
-53,212,-175,84
-53,212,-196,98
-49,195,-204,84
-32,128,-158,55
-25,102,-148,70
-22,89,-136,159
-21,85,-146,98
-20,79,-142,175
-19,75,-141,175
-18,72,-143,183
-17,67,-138,183
-16,66,-145,167
-15,62,-143,175
-14,56,-141,159
-12,47,-141,98
-10,42,-134,175
-10,41,-138,167
-9,37,-134,183
-8,34,-132,175
-8,31,-132,183
-7,29,-133,175
-7,27,-137,183
-6,24,-132,183
-5,21,-133,175
-4,18,-130,167
-4,16,-134,191
-3,14,-132,191
-3,12,-138,175
-2,9,-131,175
-2,7,-141,175
-1,4,-135,175
0,1,-132,183
0,-1,-135,183
1,-4,-135,183
1,-6,-130,183
2,-9,-134,183
3,-11,-136,183
5,-22,-130,55
0,0,-1,25
0,-2,-5,25
3,-13,-29,40
0,0,-1,30
0,-1,-1,35
0,-1,-1,30
0,-1,-1,35
0,-1,-1,45
0,-1,-1,30
0,-1,-1,30
0,-1,0,25
0,-1,0,30
0,-1,0,25
1,-5,-1,25
0,-1,0,30
0,-1,0,35
0,-1,0,30
0,-1,0,20
0,-1,0,25
0,-1,0,25
0,-1,0,25
0,-1,0,35
0,-1,1,25
0,-1,1,35
0,-1,1,25
1204,-4828,5031,30
0,-1,1,25
0,-1,1,25
4,-17,30,30
7,-27,59,50
6,-24,60,84
5,-19,61,70
4,-16,63,84
3,-12,64,98
3,-12,71,167
2,-9,60,167
2,-6,62,98
1,-5,62,159
1,-3,60,159
0,0,62,98
0,1,68,175
0,2,63,191
-1,3,63,183
-1,5,66,167
-1,6,62,159
-2,10,63,98
-3,11,63,167
-4,15,65,84
-5,20,68,84
-6,24,66,84
-6,25,60,84
-8,33,66,84
-8,32,62,159
-9,37,61,84
-11,45,70,159
