X,Y,Z,SIGNAL_STRENGTH
-85,28,212,183
-100,32,226,167
-103,33,216,159
-113,37,219,175
-118,38,212,167
-128,42,215,167
-137,44,213,175
-166,54,215,98
-192,62,208,84
-170,55,151,84
-134,43,97,84
-130,42,87,175
-131,43,83,175
-128,42,76,175
-125,41,70,183
-132,43,69,175
-130,42,63,183
-131,42,58,175
-127,41,53,183
-124,40,47,183
-129,42,45,183
-124,40,38,167
-127,41,35,183
-131,42,32,183
-130,42,27,183
-127,41,23,175
-130,42,19,183
-126,41,15,175
-129,42,11,167
-127,41,7,175
-127,41,3,183
-125,40,-1,175
-125,41,-4,183
-129,42,-8,183
-130,42,-12,183
-1399,455,-1293,40
3394,-1103,-5629,35
40,-13,-23,50
59,-19,-31,167
64,-21,-26,98
59,-19,-19,84
62,-20,-13,84
61,-20,-7,84
62,-20,-2,98
59,-19,0,167
53,-17,2,159
60,-19,4,167
66,-22,7,159
55,-18,8,159
60,-20,11,167
58,-19,12,175
64,-21,16,167
55,-18,15,175
60,-20,19,167
57,-18,20,167
60,-19,23,175
58,-19,25,159
57,-19,27,159
61,-20,31,159
53,-17,30,167
64,-21,38,167
56,-18,36,167
62,-20,43,175
59,-19,44,159
58,-19,46,167
59,-19,50,167
61,-20,55,167
55,-18,58,98
53,-17,69,84
55,-18,83,98
58,-19,95,167
54,-18,95,167
56,-18,107,167
95,-31,217,98
90,-29,223,175
83,-27,227,175
73,-24,219,167
68,-22,224,175
61,-20,228,167
53,-17,220,191
48,-16,227,159
41,-13,224,183
34,-11,224,167
27,-9,223,175
20,-6,222,167
13,-4,225,167
7,-2,213,175
2,-1,223,175
-4,1,215,175
-10,3,214,183
-16,5,216,183
-22,7,214,175
-27,9,214,175
-34,11,216,183
-41,13,220,183
-48,16,223,183
-52,17,216,175
-57,18,210,183
-66,21,216,183
-74,24,219,167
-82,27,220,183
-89,29,217,175
-97,31,217,167
-103,33,213,175
-111,36,213,167
-118,38,210,167
-131,43,218,167
-138,45,212,159
-151,49,216,167
-179,58,213,84
-194,63,192,84
-145,47,114,70
-126,41,93,159
-126,41,87,183
-126,41,82,183
-131,42,80,183
-124,40,71,167
-124,40,66,167
-132,43,65,183
-126,41,58,183
-124,40,53,175
-125,41,49,175
-127,41,45,183
-127,41,42,183
-126,41,36,167
-124,40,32,175
-127,41,29,183
-128,42,24,175
-128,42,21,175
-126,41,17,183
-130,42,13,183
-131,43,9,175
-129,42,5,175
-126,41,0,183
-127,41,-3,183
-127,41,-7,183
-130,42,-11,183
-131,43,-24,183
60,-20,-30,84
59,-19,-24,98
62,-20,-19,84
57,-19,-11,84
59,-19,-7,98
64,-21,-2,98
64,-21,0,175
56,-18,2,167
56,-18,4,159
58,-19,6,167
59,-19,11,98
